id;nom;usage;fichier_cible;statut
brand_logo;Logo PhysiqueRUSH – Massive Impact;Header / splash;assets/visuals/brand_logo.webp;à fournir
athlete_main;Athlète capuché principal;Home / décor;assets/visuals/athlete_main.webp;à fournir
tile_camp;Camp d'entraînement;Tuile Home;assets/visuals/tile_camp.webp;à fournir
tile_level;Mon niveau;Tuile Home;assets/visuals/tile_level.webp;à fournir
tile_performance;Mes performances;Tuile Home;assets/visuals/tile_performance.webp;à fournir
tile_community;Entraide 7j/7;Tuile Home;assets/visuals/tile_community.webp;à fournir
settings;Réglages;Navigation;assets/visuals/settings.webp;à fournir
day_legs_core;LEGS + CORE;Carte séance;assets/visuals/day_legs_core.webp;à fournir
day_push_cardio;PUSH + CARDIO;Carte séance;assets/visuals/day_push_cardio.webp;à fournir
day_pull_core;PULL + CORE;Carte séance;assets/visuals/day_pull_core.webp;à fournir
day_arms_cardio;ARMS + CARDIO;Carte séance;assets/visuals/day_arms_cardio.webp;à fournir
day_quad_ham_core;QUADRICEPS + ISCHIOS + CORE;Carte séance;assets/visuals/day_quad_ham_core.webp;à fournir
day_push_pull;PUSH + PULL;Carte séance;assets/visuals/day_push_pull.webp;à fournir
day_test;TEST DE NIVEAU;Carte séance / camp;assets/visuals/day_test.webp;à fournir
day_challenge;CHALLENGE DAY;Carte séance / camp;assets/visuals/day_challenge.webp;à fournir
day_onboarding;JOUR 1;Carte séance / camp;assets/visuals/day_onboarding.webp;à fournir
camp_start;Démarrage J1–J6;Bannière Camp;assets/visuals/camp_start.webp;à fournir
camp_phase1;Phase I;Bannière Camp;assets/visuals/camp_phase1.webp;à fournir
camp_phase2;Phase II;Bannière Camp;assets/visuals/camp_phase2.webp;à fournir
camp_midtests;Tests intermédiaires;Bannière Camp;assets/visuals/camp_midtests.webp;à fournir
camp_phase3;Phase III;Bannière Camp;assets/visuals/camp_phase3.webp;à fournir
camp_phase4;Phase IV;Bannière Camp;assets/visuals/camp_phase4.webp;à fournir
camp_final;Bilan final;Bannière Camp;assets/visuals/camp_final.webp;à fournir
camp_lock;Jour verrouillé;État Camp;assets/visuals/camp_lock.webp;à fournir
camp_done;Jour validé;État Camp;assets/visuals/camp_done.webp;à fournir
camp_current;Jour actuel;État Camp;assets/visuals/camp_current.webp;à fournir
